Class                                              AP
Speech                                             0.8569
Male speech, man speaking                          0.1078
Female speech, woman speaking                      0.1540
Child speech, kid speaking                         0.5146
Conversation                                       0.4869
Narration, monologue                               0.1323
Babbling                                           0.6510
Speech synthesizer                                 0.5394
Shout                                              0.2196
Bellow                                             0.1442
Whoop                                              0.2047
Yell                                               0.3020
Battle cry                                         0.8882
Children shouting                                  0.5398
Screaming                                          0.3710
Whispering                                         0.8048
Laughter                                           0.5236
Baby laughter                                      0.6473
Giggle                                             0.3227
Snicker                                            0.3058
Belly laugh                                        0.3342
Chuckle, chortle                                   0.2323
Crying, sobbing                                    0.5478
Baby cry, infant cry                               0.5629
Whimper                                            0.3618
Wail, moan                                         0.2348
Sigh                                               0.4334
Singing                                            0.3707
Choir                                              0.7623
Yodeling                                           0.6812
Chant                                              0.5045
Mantra                                             0.3887
Male singing                                       0.2658
Female singing                                     0.3063
Child singing                                      0.5904
Synthetic singing                                  0.5194
Rapping                                            0.4853
Humming                                            0.6045
Groan                                              0.0897
Grunt                                              0.4170
Whistling                                          0.7839
Breathing                                          0.2447
Wheeze                                             0.3254
Snoring                                            0.8693
Gasp                                               0.2687
Pant                                               0.5196
Snort                                              0.2363
Cough                                              0.6097
Throat clearing                                    0.5783
Sneeze                                             0.5758
Sniff                                              0.4553
Run                                                0.3569
Shuffle                                            0.5694
Walk, footsteps                                    0.4507
Chewing, mastication                               0.6659
Biting                                             0.2915
Gargling                                           0.7610
Stomach rumble                                     0.7980
Burping, eructation                                0.6878
Hiccup                                             0.7988
Fart                                               0.8405
Hands                                              0.5859
Finger snapping                                    0.6308
Clapping                                           0.5406
Heart sounds, heartbeat                            0.6785
Heart murmur                                       0.3997
Cheering                                           0.5388
Applause                                           0.6073
Chatter                                            0.7785
Crowd                                              0.7427
Hubbub, speech noise, speech babble                0.3800
Children playing                                   0.6862
Animal                                             0.6738
Domestic animals, pets                             0.6984
Dog                                                0.7404
Bark                                               0.4776
Yip                                                0.3342
Howl                                               0.7806
Bow-wow                                            0.4491
Growling                                           0.4097
Whimper (dog)                                      0.2483
Cat                                                0.7845
Purr                                               0.8254
Meow                                               0.7294
Hiss                                               0.4726
Caterwaul                                          0.6652
Livestock, farm animals, working animals           0.7185
Horse                                              0.5569
Clip-clop                                          0.5230
Neigh, whinny                                      0.8727
Cattle, bovinae                                    0.9075
Moo                                                0.9026
Cowbell                                            0.7282
Pig                                                0.6456
Oink                                               0.4991
Goat                                               0.6678
Bleat                                              0.5634
Sheep                                              0.6557
Fowl                                               0.8590
Chicken, rooster                                   0.7925
Cluck                                              0.6773
Crowing, cock-a-doodle-doo                         0.9021
Turkey                                             0.9275
Gobble                                             0.9247
Duck                                               0.4845
Quack                                              0.6601
Goose                                              0.8111
Honk                                               0.7307
Wild animals                                       0.4077
Roaring cats (lions, tigers)                       0.5419
Roar                                               0.5840
Bird                                               0.5061
Bird vocalization, bird call, bird song            0.3473
Chirp, tweet                                       0.1533
Squawk                                             0.3458
Pigeon, dove                                       0.7941
Coo                                                0.7977
Crow                                               0.7119
Caw                                                0.7372
Owl                                                0.8091
Hoot                                               0.9208
Bird flight, flapping wings                        0.7733
Canidae, dogs, wolves                              0.3578
Rodents, rats, mice                                0.4768
Mouse                                              0.2062
Patter                                             0.3588
Insect                                             0.8238
Cricket                                            0.6639
Mosquito                                           0.7604
Fly, housefly                                      0.8723
Buzz                                               0.0790
Bee, wasp, etc.                                    0.8041
Frog                                               0.9051
Croak                                              0.9016
Snake                                              0.6792
Rattle                                             0.1345
Whale vocalization                                 0.7209
Music                                              0.8747
Musical instrument                                 0.3888
Plucked string instrument                          0.5305
Guitar                                             0.6715
Electric guitar                                    0.5838
Bass guitar                                        0.5332
Acoustic guitar                                    0.5115
Steel guitar, slide guitar                         0.3775
Tapping (guitar technique)                         0.4776
Strum                                              0.2755
Banjo                                              0.8129
Sitar                                              0.5586
Mandolin                                           0.4771
Zither                                             0.6382
Ukulele                                            0.5788
Keyboard (musical)                                 0.5396
Piano                                              0.4149
Electric piano                                     0.4634
Organ                                              0.7795
Electronic organ                                   0.4221
Hammond organ                                      0.5527
Synthesizer                                        0.1986
Sampler                                            0.1736
Harpsichord                                        0.8057
Percussion                                         0.6127
Drum kit                                           0.6500
Drum machine                                       0.3513
Drum                                               0.5672
Snare drum                                         0.6935
Rimshot                                            0.6531
Drum roll                                          0.6277
Bass drum                                          0.6623
Timpani                                            0.7724
Tabla                                              0.6496
Cymbal                                             0.6406
Hi-hat                                             0.6936
Wood block                                         0.6823
Tambourine                                         0.6642
Rattle (instrument)                                0.4171
Maraca                                             0.4030
Gong                                               0.7480
Tubular bells                                      0.3060
Mallet percussion                                  0.3276
Marimba, xylophone                                 0.4101
Glockenspiel                                       0.4041
Vibraphone                                         0.5331
Steelpan                                           0.8111
Orchestra                                          0.4151
Brass instrument                                   0.8246
French horn                                        0.7821
Trumpet                                            0.5646
Trombone                                           0.6219
Bowed string instrument                            0.5478
String section                                     0.5303
Violin, fiddle                                     0.3981
Pizzicato                                          0.7312
Cello                                              0.6363
Double bass                                        0.6714
Wind instrument, woodwind instrument               0.8098
Flute                                              0.5716
Saxophone                                          0.6683
Clarinet                                           0.6549
Harp                                               0.7835
Bell                                               0.2429
Church bell                                        0.7353
Jingle bell                                        0.6624
Bicycle bell                                       0.7522
Tuning fork                                        0.7625
Chime                                              0.7505
Wind chime                                         0.8523
Change ringing (campanology)                       0.9209
Harmonica                                          0.9073
Accordion                                          0.8689
Bagpipes                                           0.9519
Didgeridoo                                         0.8832
Shofar                                             0.8940
Theremin                                           0.5120
Singing bowl                                       0.6637
Scratching (performance technique)                 0.6376
Pop music                                          0.2031
Hip hop music                                      0.3139
Beatboxing                                         0.6856
Rock music                                         0.2023
Heavy metal                                        0.3032
Punk rock                                          0.2493
Grunge                                             0.3448
Progressive rock                                   0.3969
Rock and roll                                      0.3642
Psychedelic rock                                   0.2880
Rhythm and blues                                   0.1693
Soul music                                         0.2500
Reggae                                             0.3506
Country                                            0.2346
Swing music                                        0.3564
Bluegrass                                          0.5823
Funk                                               0.2074
Folk music                                         0.1554
Middle Eastern music                               0.2764
Jazz                                               0.1140
Disco                                              0.3157
Classical music                                    0.1040
Opera                                              0.6293
Electronic music                                   0.2491
House music                                        0.3490
Techno                                             0.4853
Dubstep                                            0.5056
Drum and bass                                      0.3782
Electronica                                        0.3380
Electronic dance music                             0.5264
Ambient music                                      0.3184
Trance music                                       0.3702
Music of Latin America                             0.2733
Salsa music                                        0.6088
Flamenco                                           0.4486
Blues                                              0.2484
Music for children                                 0.2318
New-age music                                      0.3280
Vocal music                                        0.2659
A capella                                          0.5528
Music of Africa                                    0.3877
Afrobeat                                           0.4712
Christian music                                    0.2199
Gospel music                                       0.4673
Music of Asia                                      0.1467
Carnatic music                                     0.6008
Music of Bollywood                                 0.5536
Ska                                                0.3749
Traditional music                                  0.2121
Independent music                                  0.2348
Song                                               0.1228
Background music                                   0.3628
Theme music                                        0.2806
Jingle (music)                                     0.1631
Soundtrack music                                   0.0956
Lullaby                                            0.4600
Video game music                                   0.4534
Christmas music                                    0.1174
Dance music                                        0.2672
Wedding music                                      0.1418
Happy music                                        0.1597
Funny music                                        0.1289
Sad music                                          0.2892
Tender music                                       0.1128
Exciting music                                     0.0874
Angry music                                        0.7832
Scary music                                        0.4237
Wind                                               0.4913
Rustling leaves                                    0.1840
Wind noise (microphone)                            0.5294
Thunderstorm                                       0.8067
Thunder                                            0.7940
Water                                              0.5867
Rain                                               0.7438
Raindrop                                           0.5716
Rain on surface                                    0.6263
Stream                                             0.4344
Waterfall                                          0.5937
Ocean                                              0.4423
Waves, surf                                        0.4364
Steam                                              0.4682
Gurgling                                           0.1680
Fire                                               0.3480
Crackle                                            0.0821
Vehicle                                            0.5701
Boat, Water vehicle                                0.6524
Sailboat, sailing ship                             0.5649
Rowboat, canoe, kayak                              0.6000
Motorboat, speedboat                               0.4535
Ship                                               0.4160
Motor vehicle (road)                               0.1407
Car                                                0.4278
Vehicle horn, car horn, honking                    0.4985
Toot                                               0.5375
Car alarm                                          0.7050
Power windows, electric windows                    0.6665
Skidding                                           0.6403
Tire squeal                                        0.3557
Car passing by                                     0.4664
Race car, auto racing                              0.5044
Truck                                              0.3768
Air brake                                          0.3868
Air horn, truck horn                               0.6525
Reversing beeps                                    0.5999
Ice cream truck, ice cream van                     0.7749
Bus                                                0.4957
Emergency vehicle                                  0.9654
Police car (siren)                                 0.8268
Ambulance (siren)                                  0.7832
Fire engine, fire truck (siren)                    0.9021
Motorcycle                                         0.3062
Traffic noise, roadway noise                       0.1559
Rail transport                                     0.8168
Train                                              0.8237
Train whistle                                      0.4603
Train horn                                         0.6549
Railroad car, train wagon                          0.8018
Train wheels squealing                             0.8694
Subway, metro, underground                         0.6990
Aircraft                                           0.6069
Aircraft engine                                    0.5974
Jet engine                                         0.6472
Propeller, airscrew                                0.2799
Helicopter                                         0.6232
Fixed-wing aircraft, airplane                      0.5901
Bicycle                                            0.3312
Skateboard                                         0.8039
Engine                                             0.4211
Light engine (high frequency)                      0.4931
Dental drill, dentist's drill                      0.4206
Lawn mower                                         0.6170
Chainsaw                                           0.6867
Medium engine (mid frequency)                      0.1239
Heavy engine (low frequency)                       0.1041
Engine knocking                                    0.2778
Engine starting                                    0.4492
Idling                                             0.2309
Accelerating, revving, vroom                       0.2997
Door                                               0.2301
Doorbell                                           0.5865
Ding-dong                                          0.2965
Sliding door                                       0.2976
Slam                                               0.2593
Knock                                              0.5841
Tap                                                0.4712
Squeak                                             0.4497
Cupboard open or close                             0.4685
Drawer open or close                               0.5143
Dishes, pots, and pans                             0.3483
Cutlery, silverware                                0.4590
